                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1278,                 1.4009,                 1.0914,                0.19417,                0.23438,                0.14692,                 0.0686,                 1.9258,                 3.7027,                 2.0801,              0.0014365,              0.0014365,              0.0014365
                     48,                 1.1918,                 1.5466,                 1.1946,                0.07642,                   0.25,                0.04832,                0.02425,                 1.8387,                   3.78,                 1.8564,               0.001458,               0.001458,               0.001458
                     49,                 1.1184,                 1.6006,                 1.1391,                0.07642,                   0.25,                0.04832,                0.02425,                 1.8387,                   3.78,                 1.8564,              0.0014791,              0.0014791,              0.0014791
                     50,                 1.2374,                 1.5862,                 1.1856,                0.11404,                   0.25,                0.08493,                0.04576,                 1.7483,                 3.6538,                 1.7388,              0.0014998,              0.0014998,              0.0014998
                     51,                 1.1847,                 1.4787,                 1.1102,                0.11404,                   0.25,                0.08493,                0.04576,                 1.7483,                 3.6538,                 1.7388,               0.001505,               0.001505,               0.001505
                     52,                  1.181,                 1.6325,                 1.1472,                0.35847,                0.35938,                0.28399,                 0.1481,                 1.7224,                 3.3239,                 1.7622,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.1205,                 1.4033,                 1.1346,                0.35847,                0.35938,                0.28399,                 0.1481,                 1.7224,                 3.3239,                 1.7622,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.1691,                   1.46,                 1.1882,                0.76512,                0.40625,                0.47214,                0.23544,                 1.8429,                 2.8836,                 1.8839,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.0854,                 1.2994,                 1.1158,                0.76512,                0.40625,                0.47214,                0.23544,                 1.8429,                 2.8836,                 1.8839,              0.0014654,              0.0014654,              0.0014654
                     56,                  1.237,                 1.5006,                 1.1452,                0.72326,                0.44926,                0.46131,                0.21263,                  2.014,                 2.8476,                 2.0155,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.4535,                 1.4755,                 1.2758,                0.72326,                0.44926,                0.46131,                0.21263,                  2.014,                 2.8476,                 2.0155,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3548,                 1.7086,                 1.1555,                0.62857,                0.40625,                0.42275,                0.20322,                 2.0162,                 2.9865,                 2.0073,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3411,                 1.7132,                 1.2318,                0.62857,                0.40625,                0.42275,                0.20322,                 2.0162,                 2.9865,                 2.0073,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.1837,                 1.4857,                 1.1655,                0.70139,                 0.4375,                0.46261,                0.24299,                 1.8976,                 2.9425,                 1.9036,              0.0014159,              0.0014159,              0.0014159
                     61,                  1.193,                 1.4172,                 1.1683,                0.70139,                 0.4375,                0.46261,                0.24299,                 1.8976,                 2.9425,                 1.9036,               0.001406,               0.001406,               0.001406
                     62,                 1.2756,                  1.489,                 1.1514,                0.68548,                0.45312,                 0.4878,                0.25555,                 1.9252,                 2.7057,                 1.9597,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.1834,                 1.4705,                 1.2083,                0.68548,                0.45312,                 0.4878,                0.25555,                 1.9252,                 2.7057,                 1.9597,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.1542,                 1.2989,                 1.1344,                0.63305,                0.46875,                0.46744,                0.22813,                 2.0287,                 2.6942,                 1.9818,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.0986,                 1.3858,                 1.1284,                0.63305,                0.46875,                0.46744,                0.22813,                 2.0287,                 2.6942,                 1.9818,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.0848,                 1.2979,                 1.1114,                0.57846,                0.39062,                0.44097,                0.21414,                 2.0126,                 2.5832,                 1.8653,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2517,                 1.3579,                 1.0961,                0.57846,                0.39062,                0.44097,                0.21414,                 2.0126,                 2.5832,                 1.8653,              0.0013466,              0.0013466,              0.0013466
